Wk,Home,xGh,Score,xGa,Away,Attendance,Referee
37,Tottenham,1.8,1–3,1.3,Brentford,"61,514",Jarred Gillett
37,Liverpool,0.7,1–1,1.3,Aston Villa,"53,306",John Brooks
37,Fulham,1.7,2–2,1.6,Crystal Palace,"24,356",Joshua Smith
37,Bournemouth,1,0–1,1.4,Manchester Utd,"10,240",Chris Kavanagh
37,Wolves,1.6,1–1,2,Everton,"31,684",David Coote
37,Nott'ham Forest,0.6,1–0,0.6,Arsenal,"29,514",Anthony Taylor
37,West Ham,2.1,3–1,0.9,Leeds United,"62,478",Peter Bankes
37,Brighton,2.5,3–1,0.6,Southampton,"31,507",Paul Tierney
37,Manchester City,1.2,1–0,1.2,Chelsea,"53,490",Michael Oliver
37,Newcastle Utd,2.1,0–0,0.1,Leicester City,"52,152",Andre Marriner
32,Brighton,2.2,1–1,1.8,Manchester City,"31,388",Simon Hooper
32,Manchester Utd,5.2,4–1,1.9,Chelsea,"73,561",Stuart Attwell
38,Crystal Palace,1.4,1–1,0.5,Nott'ham Forest,"25,198",Thomas Bramall
38,Chelsea,2.2,1–1,1.7,Newcastle Utd,"40,130",Jarred Gillett
38,Manchester Utd,2.9,2–1,1.8,Fulham,"73,465",Robert Jones
38,Arsenal,2.8,5–0,0.5,Wolves,"60,095",Andre Marriner
38,Southampton,1.8,4–4,4,Liverpool,"31,129",Darren England
38,Everton,1,1–0,0.5,Bournemouth,"39,201",Stuart Attwell
38,Leicester City,1.4,2–1,1.4,West Ham,"32,183",Simon Hooper
38,Leeds United,1.5,1–4,2.2,Tottenham,"36,871",Anthony Taylor
38,Brentford,1.3,1–0,1.6,Manchester City,"17,120",John Brooks
